,rank,title,world_lifetime_gross,studio,domestic_opening_gross,budget,MPAA_rating,run_time,genre_list,lead_name,lead_height_m,lead_is_female,audience_score,tomatometer,international_movie,lead_age_years
0,1,Avatar,2847246203,Twentieth Century Fox,77025481.0,237000000.0,PG-13,162.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Sam Worthington,1.78,False,82.0,82.0,False,33.04039090425128
1,2,Avengers: Endgame,2797501328,Walt Disney Studios Motion Pictures,357115007.0,356000000.0,PG-13,181.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Robert Downey Jr.,1.74,False,90.0,94.0,False,54.053388090349074
2,3,Titanic,2201647264,Paramount Pictures,28638131.0,200000000.0,PG-13,194.0,"['Drama', 'Romance']",Leonardo DiCaprio,1.83,False,69.0,89.0,False,23.02258917027911
3,4,Star Wars: Episode VII - The Force Awakens,2069521700,Walt Disney Studios Motion Pictures,247966675.0,245000000.0,PG-13,138.0,"['Action', 'Adventure', 'Sci-Fi']",Daisy Ridley,1.7,True,85.0,93.0,False,23.017126777701726
5,6,Jurassic World,1670516444,Universal Pictures,208806270.0,150000000.0,PG-13,124.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Pratt,1.88,False,78.0,71.0,False,35.969883641341546
6,7,The Lion King,1667635327,Walt Disney Studios Motion Pictures,191770759.0,260000000.0,PG,118.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",Donald Glover,1.75,False,93.0,93.0,False,35.96166628640961
8,9,Furious 7,1515341399,Universal Pictures,147187040.0,190000000.0,PG-13,137.0,"['Action', 'Adventure', 'Thriller']",Vin Diesel,1.82,False,82.0,82.0,False,47.95345083276295
9,10,Frozen II,1450026933,Walt Disney Studios Motion Pictures,130263358.0,150000000.0,PG,103.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Kristen Bell,1.55,True,92.0,78.0,False,39.00616776941212
10,11,Avengers: Age of Ultron,1402809540,Walt Disney Studios Motion Pictures,191271109.0,250000000.0,PG-13,141.0,"['Action', 'Adventure', 'Sci-Fi']",Robert Downey Jr.,1.74,False,83.0,76.0,False,50.04791238877481
14,15,Jurassic World: Fallen Kingdom,1310466296,Universal Pictures,148024610.0,170000000.0,PG-13,128.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Pratt,1.88,False,48.0,47.0,False,38.959616700889804
15,16,Frozen,1281508100,Walt Disney Studios Motion Pictures,243390.0,150000000.0,PG,102.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Kristen Bell,1.55,True,62.0,56.0,False,33.013012396379956
16,17,Beauty and the Beast,1264434525,Walt Disney Studios Motion Pictures,174750616.0,160000000.0,PG,129.0,"['Family', 'Fantasy', 'Musical', 'Romance']",Emma Watson,1.65,True,80.0,71.0,False,27.003420412198643
18,19,The Fate of the Furious,1236005118,Universal Pictures,98786705.0,250000000.0,PG-13,136.0,"['Action', 'Adventure', 'Crime', 'Thriller']",Vin Diesel,1.82,False,72.0,67.0,False,49.98493611681497
19,20,Iron Man 3,1214811252,Walt Disney Studios Motion Pictures,174144585.0,200000000.0,PG-13,130.0,"['Action', 'Adventure', 'Sci-Fi']",Robert Downey Jr.,1.74,False,78.0,79.0,False,48.054757015742645
20,21,Minions,1159444662,Universal Pictures,115718405.0,74000000.0,PG,91.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Sandra Bullock,1.71,True,49.0,55.0,False,50.95413529545973
21,22,Captain America: Civil War,1153337496,Walt Disney Studios Motion Pictures,179139142.0,250000000.0,PG-13,147.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Evans,1.83,True,89.0,90.0,False,35.03627272035896
23,24,The Lord of the Rings: The Return of the King,1146030912,New Line Cinema,72629713.0,94000000.0,PG-13,201.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",Elijah Wood,1.68,False,86.0,93.0,False,21.96853563008594
24,25,Spider-Man: Far from Home,1131927996,Sony Pictures Entertainment (SPE),92579212.0,160000000.0,PG-13,129.0,"['Action', 'Adventure', 'Sci-Fi']",Tom Holland,1.73,False,95.0,90.0,False,23.07460643394935
25,26,Captain Marvel,1128462972,Walt Disney Studios Motion Pictures,153433423.0,160000000.0,PG-13,123.0,"['Action', 'Adventure', 'Sci-Fi']",Brie Larson,1.7,True,45.0,79.0,False,30.012307019545215
26,27,Transformers: Dark of the Moon,1123794079,DreamWorks,97852865.0,195000000.0,PG-13,154.0,"['Action', 'Adventure', 'Sci-Fi']",Shia LaBeouf,1.76,False,55.0,35.0,False,25.048596851471594
27,28,Skyfall,1108569499,Sony Pictures Entertainment (SPE),88364714.0,200000000.0,PG-13,143.0,"['Action', 'Adventure', 'Thriller']",Daniel Craig,1.78,False,86.0,92.0,False,44.06298387710092
28,29,Transformers: Age of Extinction,1104054072,Paramount Pictures,100038390.0,210000000.0,PG-13,165.0,"['Action', 'Adventure', 'Sci-Fi']",Mark Wahlberg,1.73,False,50.0,17.0,False,43.05544147843943
29,30,The Lion King,1083720877,Walt Disney Studios Motion Pictures,1586753.0,45000000.0,G,88.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",Matthew Broderick,1.72,False,93.0,93.0,False,31.98357859913302
30,31,The Dark Knight Rises,1081142612,Warner Bros.,160887295.0,250000000.0,PG-13,164.0,"['Action', 'Adventure']",Christian Bale,1.83,False,90.0,87.0,False,37.96852612365959
